id,name,parent,size,wild
79,Hydnophora microconos,76,40,1.00
80,Hydnophora rigida,76,29,0.66
81,Hydnophora spp.,76,68,0.16
82,Merulina,75,,0.58
83,Merulina ampliata,82,107,0.56
84,Merulina scabricula,82,5,0.80
85,Merulina spp.,82,2,1.00
86,Mussidae,67,,0.71
87,Acanthastrea,86,,0.70
88,Acanthastrea amakusensis,87,7,0.86
89,Acanthastrea bowerbanki,87,14,0.93
90,Acanthastrea echinata,87,8,0.88
91,Acanthastrea hemprichii,87,2,0.00
92,Acanthastrea hillae,87,9,1.00
93,Acanthastrea lordhowensis,87,22,0.95
94,Acanthastrea maxima,87,4,0.75
95,Acanthastrea rotundoflora,87,1,0.00
96,Acanthastrea spp.,87,124,0.60
97,Acanthophyllia,86,,0.96
98,Acanthophyllia deshayesiana,97,44,0.95
99,Acanthophyllia spp.,97,1,1.00
100,Australomussa,86,,0.15
101,Australomussa rowleyensis,100,32,0.13
102,Australomussa spp.,100,1,1.00
103,Blastomussa,86,,0.59
104,Blastomussa merleti,103,30,0.33
105,Blastomussa spp.,103,12,0.92
106,Blastomussa wellsi,103,98,0.63
107,Cynarina,86,,0.95
108,Cynarina lacrymalis,107,69,0.94
109,Cynarina spp.,107,4,1.00
110,Lobophyllia,86,,0.73
111,Lobophyllia corymbosa,110,55,0.95
112,Lobophyllia diminuta,110,1,1.00
113,Lobophyllia hataii,110,1,0.00
114,Lobophyllia hemprichii,110,18,0.94
115,Lobophyllia robusta,110,3,1.00
116,Lobophyllia spp.,110,167,0.63
117,Micromussa,86,,1.00
118,Micromussa spp.,117,2,1.00
119,Mussismilia,86,,1.00
120,Mussismilia braziliensis,119,1,1.00
121,Mycetophyllia,86,,1.00
122,Mycetophyllia aliciae,121,2,1.00
123,Scolymia,86,,0.81
124,Scolymia australis,123,34,0.97
125,Scolymia cubensis,123,1,1.00
126,Scolymia lacera,123,1,1.00
127,Scolymia spp.,123,49,0.57
128,Scolymia vitiensis,123,40,0.95
129,Symphyllia,86,,0.67
130,Symphyllia agaricia,129,5,1.00
131,Symphyllia radians,129,2,1.00
132,Symphyllia recta,129,2,0.50
133,Symphyllia spp.,129,117,0.63
134,Symphyllia valenciennesii,129,2,1.00
135,Symphyllia wilsoni,129,7,1.00
136,Oculinidae,67,,0.68
137,Acrhelia,136,,1.00
138,Acrhelia horrescens,137,3,1.00
139,Galaxea,136,,0.68
140,Galaxea acrhelia,139,1,1.00
141,Galaxea astreata,139,48,1.00
142,Galaxea fascicularis,139,67,0.94
143,Galaxea spp.,139,63,0.14
144,Madrepora,136,,1.00
145,Madrepora oculata,144,1,1.00
146,Madrepora spp.,144,1,1.00
147,Pectiniidae,67,,0.53
148,Echinophyllia,147,,0.60
149,Echinophyllia aspera,148,11,0.82
150,Echinophyllia echinata,148,3,1.00
151,Echinophyllia echinoporoides,148,1,1.00
152,Echinophyllia nishihirai,148,3,1.00
153,Echinophyllia spp.,148,133,0.56
154,Mycedium,147,,0.40
155,Mycedium elephantotus,154,55,0.44
156,Mycedium robokaki,154,26,0.04
157,Mycedium spina,154,1,0.00
158,Mycedium spp.,154,56,0.54
159,Oxypora,147,,0.55
160,Oxypora convoluta,159,1,1.00
161,Oxypora glabra,159,1,1.00
162,Oxypora spp.,159,60,0.53
163,Pectinia,147,,0.61
164,Pectinia africanus,163,1,1.00
165,Pectinia alcicornis,163,1,1.00
166,Pectinia lactuca,163,3,1.00
167,Pectinia paeonia,163,2,1.00
168,Pectinia spp.,163,93,0.58
169,Pocilloporidae,67,,0.51
170,Madracis,169,,1.00
171,Madracis asanoi,170,1,1.00
172,Madracis decactis,170,2,1.00
173,Madracis myriaster,170,1,1.00
174,Madracis pharensis,170,1,1.00
175,Madracis spp.,170,1,1.00
176,Pocillopora,169,,0.56
177,Pocillopora damicornis,176,17,0.71
178,Pocillopora eydouxi,176,8,1.00
179,Pocillopora meandrina,176,13,1.00
180,Pocillopora spp.,176,106,0.43
181,Pocillopora verrucosa,176,7,0.86
182,Seriatopora,169,,0.46
183,Seriatopora aculeata,182,1,1.00
184,Seriatopora caliendrum,182,5,0.60
185,Seriatopora hystrix,182,46,0.93
186,Seriatopora spp.,182,73,0.15
187,Stylophora,169,,0.45
188,Stylophora pistillata,187,26,0.81
189,Stylophora spp.,187,94,0.36
190,Stylophora subseriata,187,1,0.00
191,Poritidae,67,,0.74
192,Alveopora,191,,0.57
193,Alveopora gigas,192,11,0.91
194,Alveopora spongiosa,192,7,0.86
195,Alveopora spp.,192,81,0.49
196,Goniopora,191,,0.80
197,Goniopora albiconus,196,2,1.00
198,Goniopora columna,196,1,1.00
199,Goniopora lobata,196,68,0.96
200,Goniopora minor,196,3,0.33
201,Goniopora norfolkensis,196,1,1.00
202,Goniopora somaliensis,196,1,1.00
203,Goniopora spp.,196,189,0.68
204,Goniopora stokesi,196,73,0.97
205,Goniopora stutchburyi,196,2,1.00
206,Goniopora tenuidens,196,3,1.00
207,Porites,191,,0.71
208,Porites annae,207,1,1.00
209,Porites astreoides,207,9,0.78
210,Porites branneri,207,1,0.00
211,Porites cylindrica,207,6,0.50
212,Porites lobata,207,10,1.00
213,Porites lutea,207,7,1.00
214,Porites porites,207,5,1.00
215,Porites rus,207,2,1.00
216,Porites spp.,207,145,0.67
217,Rhizangiidae,67,,1.00
218,Astrangia,217,,1.00
219,Astrangia poculata,218,2,1.00
220,Siderastreidae,67,,1.00
221,Coscinaraea,220,,1.00
222,Coscinaraea spp.,221,1,1.00
223,Psammocora,220,,1.00
224,Psammocora spp.,223,3,1.00
225,Psammocora superficialis,223,1,1.00
226,Siderastrea,220,,1.00
227,Siderastrea radians,226,1,1.00
228,Siderastrea siderea,226,3,1.00
229,Siderastrea spp.,226,1,1.00
230,Trachyphylliidae,67,,0.91
231,Trachyphyllia,230,,0.91
232,Trachyphyllia geoffroyi,231,107,0.91
233,Trachyphyllia spp.,231,3,1.00
234,Stolonifera,47,,0.76
235,Tubiporidae,234,,0.76
236,Tubipora,235,,0.76
237,Tubipora musica,236,116,0.75
238,Tubipora spp.,236,3,1.00
239,Arachnida,1,,0.02
240,Araneae,239,,0.00
241,Theraphosidae,240,,0.00
242,Aphonopelma,241,,0.00
243,Aphonopelma albiceps,242,2,0.00
244,Brachypelma,241,,0.00
245,Brachypelma albopilosum,244,13,0.00
246,Brachypelma annitha,244,4,0.00
247,Brachypelma auratum,244,4,0.00
248,Brachypelma baumgarteni,244,2,0.00
249,Brachypelma boehmei,244,7,0.00
250,Brachypelma emilia,244,7,0.00
251,Brachypelma kahlenbergi,244,2,0.00
252,Brachypelma klaasi,244,1,0.00
253,Brachypelma smithi,244,15,0.00
254,Brachypelma spp.,244,1,0.00
255,Brachypelma vagans,244,4,0.00
256,Brachypelma verdezi,244,1,0.00
257,Scorpiones,239,,1.00
258,Scorpionidae,257,,1.00
259,Pandinus,258,,1.00
260,Pandinus dictator,259,1,1.00
261,Aves,1,,0.16
262,Anseriformes,261,,0.00
263,Anatidae,262,,0.00
264,Cairina,263,,0.00
265,Cairina moschata,264,22,0.00
266,Apodiformes,261,,0.97
267,Trochilidae,266,,0.97
268,Amazilia,267,,1.00
269,Amazilia cyanocephala,268,2,1.00
270,Amazilia fimbriata,268,1,1.00
271,Amazilia viridigaster,268,1,1.00
272,Amazilia yucatanensis,268,1,1.00
273,Anthracothorax,267,,1.00
274,Anthracothorax veraguensis,273,1,1.00
275,Archilochus,267,,1.00
276,Archilochus colubris,275,2,1.00
277,Basilinna,267,,1.00
278,Basilinna leucotis,277,1,1.00
279,Calliphlox,267,,1.00
280,Calliphlox bryantae,279,1,1.00
281,Campylopterus,267,,1.00
282,Campylopterus hemileucurus,281,1,1.00
283,Campylopterus largipennis,281,1,1.00
284,Chlorostilbon,267,,1.00
285,Chlorostilbon lucidus,284,1,1.00
286,Colibri,267,,0.75
287,Colibri coruscans,286,1,0.00
288,Colibri thalassinus,286,3,1.00
289,Eugenes,267,,1.00
290,Eugenes fulgens,289,2,1.00
291,Florisuga,267,,1.00
292,Florisuga fusca,291,1,1.00
293,Florisuga mellivora,291,1,1.00
294,Heliothryx,267,,1.00
295,Heliothryx auritus,295,1,1.00
296,Hylocharis,267,,1.00
297,Hylocharis cyanus,296,1,1.00
298,Lampornis,267,,1.00
299,Lampornis amethystinus,298,1,1.00
300,Lampornis sybillae,298,1,1.00
301,Lampornis viridipallens,298,1,1.00
302,Lophornis,267,,1.00
303,Lophornis ornatus,302,1,1.00
304,Lophornis pavoninus,302,1,1.00
305,Phaethornis,267,,1.00
306,Phaethornis augusti,305,1,1.00
307,Phaethornis bourcieri,305,1,1.00
308,Phaethornis longirostris,305,1,1.00
309,Phaethornis superciliosus,305,1,1.00
310,Thalurania,267,,1.00
311,Thalurania furcata,310,1,1.00
312,Charadriiformes,261,,1.00
313,Burhinidae,312,,1.00
314,Burhinus,313,,1.00
315,Burhinus bistriatus,314,1,1.00
316,Ciconiiformes,261,,0.19
317,Phoenicopteridae,316,,0.33
318,Phoeniconaias,317,,1.00
319,Phoeniconaias minor,318,3,1.00
320,Phoenicopterus,317,,0.20
321,Phoenicopterus chilensis,320,2,0.00
322,Phoenicopterus ruber,320,13,0.23
323,Threskiornithidae,316,,0.05
324,Eudocimus,323,,0.00
325,Eudocimus ruber,324,17,0.00
326,Platalea,323,,0.50
327,Platalea leucorodia,326,2,0.50
328,Columbiformes,261,,0.00
329,Columbidae,328,,0.00
330,Nesoenas,329,,0.00
331,Nesoenas mayeri,330,1,0.00
332,Cuculiformes,261,,0.12
333,Musophagidae,332,,0.12
334,Tauraco,333,,0.12
335,Tauraco corythaix,334,2,0.00
336,Tauraco erythrolophus,334,14,0.00
337,Tauraco fischeri,334,5,0.00
338,Tauraco hartlaubi,334,4,0.00
339,Tauraco leucolophus,334,18,0.06
340,Tauraco leucotis,334,9,0.00
341,Tauraco livingstonii,334,3,0.00
342,Tauraco persa,334,7,0.57
343,Tauraco porphyreolophus,334,9,0.00
344,Tauraco schalowi,334,1,0.00
345,Tauraco schuettii,334,2,1.00
346,Tauraco spp.,334,2,1.00
347,Falconiformes,261,,0.78
348,Cathartidae,347,,0.67
349,Sarcoramphus,348,,0.67
350,Sarcoramphus papa,349,3,0.67
351,Pandionidae,347,,1.00
352,Pandion,351,,1.00
353,Pandion haliaetus,352,5,1.00
354,Sagittariidae,347,,0.00
355,Sagittarius,354,,0.00
356,Sagittarius serpentarius,355,1,0.00
357,Galliformes,261,,0.17
358,Cracidae,357,,0.20
359,Crax,358,,0.25
360,Crax rubra,359,4,0.25
361,Ortalis,358,,1.00
362,Ortalis vetula,361,1,1.00
363,Pauxi,358,,0.00
364,Pauxi pauxi,363,9,0.00
365,Penelope,358,,1.00
366,Penelope purpurascens,365,1,1.00
367,Phasianidae,357,,0.16
368,Argusianus,367,,0.00
369,Argusianus argus,368,1,0.00
370,Gallus,367,,0.00
371,Gallus sonneratii,370,3,0.00
372,Lophura,367,,0.00
373,Lophura leucomelanos,372,2,0.00
374,Meleagris,367,,0.67
375,Meleagris ocellata,374,6,0.67
376,Pavo,367,,0.16
377,Pavo cristatus,376,119,0.17
378,Pavo muticus,376,12,0.08
379,Polyplectron,367,,0.00
380,Polyplectron bicalcaratum,379,6,0.00
381,Polyplectron germaini,379,1,0.00
382,Polyplectron malacense,379,1,0.00
383,Tragopan,367,,0.00
384,Tragopan satyra,383,3,0.00
385,Gruiformes,261,,0.83
386,Otididae,385,,0.83
387,Ardeotis,386,,0.00
388,Ardeotis kori,387,1,0.00
389,Lissotis,386,,1.00
390,Lissotis melanogaster,389,1,1.00
391,Lophotis,386,,1.00
392,Lophotis ruficrista,391,1,1.00
393,Otis,386,,1.00
394,Otis tarda,393,3,1.00
395,Passeriformes,261,,0.35
396,Cotingidae,395,,1.00
397,Cephalopterus,396,,1.00
398,Cephalopterus ornatus,397,1,1.00
399,Muscicapidae,395,,0.38
400,Leiothrix,399,,0.43
401,Leiothrix argentauris,400,3,1.00
402,Leiothrix lutea,400,4,0.00
403,Liocichla,399,,0.33
404,Liocichla omeiensis,403,6,0.33
405,Paradisaeidae,395,,0.27
406,Cicinnurus,405,,0.00
407,Cicinnurus regius,406,2,0.00
408,Lophorina,405,,1.00
409,Lophorina superba,408,2,1.00
410,Paradisaea,405,,0.00
411,Paradisaea apoda,410,2,0.00
412,Paradisaea minor,410,1,0.00
413,Paradisaea raggiana,410,1,0.00
414,Paradisaea rubra,410,3,0.00
415,Paradisaea spp.,410,1,0.00
416,Parotia,405,,1.00
417,Parotia lawesii,416,1,1.00
418,Pteridophora,405,,1.00
419,Pteridophora alberti,418,1,1.00
420,Seleucidis,405,,0.00
421,Seleucidis melanoleucus,420,1,0.00
422,Pycnonotidae,395,,1.00
423,Pycnonotus,422,,1.00
424,Pycnonotus zeylanicus,423,3,1.00
425,Sturnidae,395,,0.21
426,Gracula,425,,0.21
427,Gracula religiosa,426,14,0.21
428,Piciformes,261,,0.78
429,Ramphastidae,428,,0.78
430,Baillonius,429,,0.00
431,Baillonius bailloni,430,1,0.00
432,Pteroglossus,429,,0.89
433,Pteroglossus aracari,432,9,0.89
434,Pteroglossus viridis,432,9,0.89
435,Ramphastos,429,,0.77
436,Ramphastos dicolorus,435,2,0.00
437,Ramphastos sulfuratus,435,2,0.00
438,Ramphastos toco,435,24,0.54
439,Ramphastos tucanus,435,25,0.96
440,Ramphastos vitellinus,435,28,0.89
441,Psittaciformes,261,,0.12
442,Loriidae,441,,0.06
443,Chalcopsitta,442,,0.09
444,Chalcopsitta atra,443,16,0.00
445,Chalcopsitta cardinalis,443,10,0.40
446,Chalcopsitta duivenbodei,443,12,0.00
447,Chalcopsitta sintillata,443,7,0.00
448,Charmosyna,442,,0.13
449,Charmosyna papou,448,5,0.20
450,Charmosyna placentis,448,3,0.00
451,Eos,442,,0.00
452,Eos cyanogenia,451,2,0.00
453,Eos reticulata,451,3,0.00
454,Eos rubra,451,20,0.00
455,Eos semilarvata,451,1,0.00
456,Eos squamata,451,3,0.00
457,Eos squamata riciniata,451,2,0.00
458,Glossopsitta,442,,0.00
459,Glossopsitta concinna,458,6,0.00
460,Lorius,442,,0.08
461,Lorius chlorocercus,460,7,0.57
462,Lorius domicella,460,3,0.00
463,Lorius garrulus,460,28,0.04
464,Lorius hypoinochrous,460,1,0.00
465,Lorius lory,460,22,0.00
466,Phigys,442,,0.00
467,Phigys solitarius,466,1,0.00
468,Pseudeos,442,,0.00
469,Pseudeos fuscata,468,13,0.00
470,Psitteuteles,442,,0.00
471,Psitteuteles goldiei,470,2,0.00
472,Trichoglossus,442,,0.04
473,Trichoglossus chlorolepidotus,472,4,0.25
474,Trichoglossus flavoviridis,472,1,0.00
475,Trichoglossus haematodus,472,56,0.04
476,Trichoglossus johnstoniae,472,2,0.00
477,Trichoglossus ornatus,472,4,0.00
478,Trichoglossus spp.,472,1,0.00
479,Vini,442,,1.00
480,Vini kuhlii,479,1,1.00
481,Psittacidae,441,,0.13
482,Agapornis,481,,0.01
483,Agapornis canus,482,12,0.00
484,Agapornis fischeri,482,76,0.00
485,Agapornis hybrid,482,1,0.00
486,Agapornis lilianae,482,10,0.00
487,Agapornis nigrigenis,482,7,0.00
488,Agapornis personatus,482,59,0.00
489,Agapornis pullarius,482,2,1.00
490,Agapornis taranta,482,15,0.00
491,Alisterus,481,,0.00
492,Alisterus amboinensis,491,1,0.00
493,Alisterus chloropterus,491,3,0.00
494,Alisterus scapularis,491,35,0.00
495,Amazona,481,,0.25
496,Amazona aestiva,495,102,0.05
497,Amazona albifrons,495,18,0.00
498,Amazona amazonica,495,59,0.53
499,Amazona autumnalis,495,36,0.06
500,Amazona barbadensis,495,2,0.00
501,Amazona collaria,495,1,0.00
502,Amazona dufresniana,495,11,0.91
503,Amazona farinosa,495,39,0.36
504,Amazona festiva,495,16,0.31
505,Amazona ochrocephala,495,97,0.31
506,Amazona ventralis,495,5,0.00
507,Amazona xantholora,495,1,0.00
508,Amazona xanthops,495,4,0.00
509,Aprosmictus,481,,0.00
510,Aprosmictus erythropterus,509,30,0.00
511,Ara,481,,0.25
512,Ara ararauna,511,182,0.22
513,Ara chloropterus,511,127,0.35
514,Ara hybrid,511,33,0.03
515,Ara severus,511,22,0.23
516,Aratinga,481,,0.11
517,Aratinga acuticaudata,516,6,0.00
518,Aratinga aurea,516,6,0.33
519,Aratinga auricapillus,516,6,0.00
520,Aratinga cactorum,516,1,0.00
521,Aratinga canicularis,516,2,0.00
522,Aratinga chloroptera,516,1,1.00
523,Aratinga erythrogenys,516,3,0.00
524,Aratinga holochlora,516,2,0.00
525,Aratinga jandaya,516,14,0.00
526,Aratinga leucophthalma,516,4,0.50
527,Aratinga mitrata,516,2,0.00
528,Aratinga pertinax,516,10,0.50
529,Aratinga solstitialis,516,58,0.03
530,Aratinga wagleri,516,1,1.00
531,Aratinga weddellii,516,6,0.00
532,Barnardius,481,,0.00
533,Barnardius zonarius,532,35,0.00
534,Bolborhynchus,481,,0.00
535,Bolborhynchus lineola,534,17,0.00
536,Brotogeris,481,,0.00
537,Brotogeris cyanoptera,536,2,0.00
538,Brotogeris pyrrhoptera,536,1,0.00
539,Brotogeris tirica,536,1,0.00
540,Coracopsis,481,,0.00
541,Coracopsis nigra,540,3,0.00
542,Cyanoliseus,481,,0.00
543,Cyanoliseus patagonus,542,18,0.00
544,Cyanoramphus,481,,0.00
545,Cyanoramphus auriceps,544,38,0.00
546,Cyanoramphus malherbi,544,3,0.00
547,Cyanoramphus unicolor,544,1,0.00
548,Deroptyus,481,,0.72
549,Deroptyus accipitrinus,548,29,0.72
550,Diopsittaca,481,,0.40
551,Diopsittaca nobilis,550,40,0.40
552,Eclectus,481,,0.03
553,Eclectus roratus,552,101,0.03
554,Eclectus spp.,552,1,0.00
555,Enicognathus,481,,0.00
556,Enicognathus leptorhynchus,555,1,0.00
557,Forpus,481,,0.02
558,Forpus coelestis,557,32,0.00
559,Forpus modestus,557,1,0.00
560,Forpus passerinus,557,5,0.20
561,Forpus xanthops,557,5,0.00
562,Forpus xanthopterygius,557,1,0.00
563,Lathamus,481,,0.00
564,Lathamus discolor,563,9,0.00
565,Loriculus,481,,0.13
566,Loriculus galgulus,565,5,0.00
567,Loriculus philippensis,565,1,1.00
568,Loriculus pusillus,565,2,0.00
569,Myiopsitta,481,,0.04
570,Myiopsitta monachus,569,54,0.04
571,Nandayus,481,,0.00
572,Nandayus nenday,571,6,0.00
573,Neophema,481,,0.00
574,Neophema chrysostoma,573,3,0.00
575,Neophema elegans,573,6,0.00
576,Neophema petrophila,573,1,0.00
577,Neophema pulchella,573,21,0.00
578,Neophema splendida,573,13,0.00
579,Neopsephotus,481,,0.00
580,Neopsephotus bourkii,579,25,0.00
581,Nestor,481,,0.00
582,Nestor notabilis,581,8,0.00
583,Northiella,481,,0.00
584,Northiella haematogaster,583,8,0.00
585,Orthopsittaca,481,,0.88
586,Orthopsittaca manilata,585,17,0.88
587,Pionites,481,,0.19
588,Pionites leucogaster,587,54,0.00
589,Pionites melanocephalus,587,58,0.38
590,Pionites spp.,587,1,0.00
591,Pionus,481,,0.43
592,Pionus chalcopterus,591,7,0.00
593,Pionus fuscus,591,13,0.77
594,Pionus maximiliani,591,9,0.11
595,Pionus menstruus,591,35,0.57
596,Pionus senilis,591,8,0.00
597,Platycercus,481,,0.00
598,Platycercus adscitus,597,28,0.00
599,Platycercus caledonicus,597,8,0.00
600,Platycercus elegans,597,60,0.00
601,Platycercus eximius,597,80,0.00
602,Platycercus icterotis,597,19,0.00
603,Platycercus spp.,597,1,0.00
604,Platycercus venustus,597,9,0.00
605,Poicephalus,481,,0.16
606,Poicephalus cryptoxanthus,605,2,0.00
607,Poicephalus flavifrons,605,2,0.00
608,Poicephalus fuscicollis,605,1,0.00
609,Poicephalus gulielmi,605,21,0.38
610,Poicephalus meyeri,605,13,0.00
611,Poicephalus robustus,605,10,0.00
612,Poicephalus rueppellii,605,4,0.00
613,Poicephalus rufiventris,605,4,0.00
614,Poicephalus senegalus,605,37,0.19
615,Poicephalus spp.,605,1,0.00
616,Polytelis,481,,0.00
617,Polytelis alexandrae,616,26,0.00
618,Polytelis anthopeplus,616,33,0.00
619,Polytelis swainsonii,616,39,0.00
620,Primolius,481,,0.00
621,Primolius auricollis,620,19,0.00
622,Prioniturus,481,,0.33
623,Prioniturus discurus,622,1,1.00
624,Prioniturus platurus,622,2,0.00
625,Prosopeia,481,,0.00
626,Prosopeia personata,625,1,0.00
627,Psephotus,481,,0.00
628,Psephotus haematonotus,627,69,0.00
629,Psephotus varius,627,14,0.00
630,Psilopsiagon,481,,0.00
631,Psilopsiagon aurifrons,630,2,0.00
632,Psilopsiagon aymara,630,7,0.00
633,Psittacula,481,,0.00
634,Psittacula alexandri,633,12,0.00
635,Psittacula columboides,633,2,0.00
636,Psittacula cyanocephala,633,20,0.00
637,Psittacula derbiana,633,24,0.00
638,Psittacula eupatria,633,32,0.00
639,Psittacula himalayana,633,1,0.00
640,Psittacula longicauda,633,4,0.00
641,Psittaculirostris,481,,0.00
642,Psittaculirostris desmarestii,641,4,0.00
643,Psittaculirostris salvadorii,641,1,0.00
644,Psittacus,481,,0.13
645,Psittacus erithacus,644,355,0.12
646,Psittinus,481,,0.00
647,Psittinus cyanurus,646,4,0.00
648,Psittrichas,481,,0.00
649,Psittrichas fulgidus,648,7,0.00
650,Purpureicephalus,481,,0.00
651,Purpureicephalus spurius,650,11,0.00
652,Pyrrhura,481,,0.05
653,Pyrrhura egregia,652,1,1.00
654,Pyrrhura frontalis,652,8,0.00
655,Pyrrhura griseipectus,652,3,0.00
656,Pyrrhura hoffmanni,652,1,0.00
657,Pyrrhura lepida,652,4,0.00
658,Pyrrhura leucotis,652,2,0.00
659,Pyrrhura molinae,652,68,0.00
660,Pyrrhura perlata,652,20,0.00
661,Pyrrhura picta,652,11,0.55
662,Pyrrhura rhodocephala,652,4,0.00
663,Pyrrhura rupicola,652,6,0.00
664,Tanygnathus,481,,0.00
665,Tanygnathus lucionensis,664,6,0.00
666,Tanygnathus megalorynchos,664,3,0.00
667,Tanygnathus sumatranus,664,1,0.00
668,Triclaria,481,,0.00
669,Triclaria malachitacea,668,1,0.00
670,Rheiformes,261,,0.05
671,Rheidae,670,,0.05
672,Pterocnemia,671,,0.00
673,Pterocnemia pennata pennata,672,2,0.00
674,Rhea,671,,0.06
675,Rhea americana,674,17,0.06
676,Rhea americana albescens,674,1,0.00
677,Sphenisciformes,261,,0.00
678,Spheniscidae,677,,0.00
679,Spheniscus,678,,0.00
680,Spheniscus demersus,679,4,0.00
681,Strigiformes,261,,0.15
682,Strigidae,681,,0.12
683,Aegolius,682,,0.00
684,Aegolius funereus,683,5,0.00
685,Asio,682,,0.57
686,Asio capensis,685,1,1.00
687,Asio flammeus,685,2,1.00
688,Asio otus,685,4,0.25
689,Athene,682,,0.21
690,Athene brama,689,2,0.50
691,Athene cunicularia,689,5,0.20
692,Athene noctua,689,12,0.17
693,Bubo,682,,0.11
694,Bubo africanus,693,9,0.11
695,Bubo ascalaphus,693,1,0.00
696,Bubo bubo,693,32,0.09
697,Bubo bubo bengalensis,693,4,0.00
698,Bubo capensis,693,2,0.00
699,Bubo cinerascens,693,3,0.00
700,Bubo lacteus,693,3,0.33
701,Bubo spp.,693,1,1.00
702,Bubo virginianus,693,9,0.11
703,Ciccaba,682,,0.00
704,Ciccaba huhula,703,1,0.00
705,Glaucidium,682,,0.25
706,Glaucidium brasilianum,705,5,0.00
707,Glaucidium gnoma,705,2,1.00
708,Glaucidium passerinum,705,1,0.00
709,Ninox,682,,0.22
710,Ninox boobook,709,4,0.00
711,Ninox novaeseelandiae,709,3,0.00
712,Ninox odiosa,709,1,1.00
713,Ninox philippensis,709,1,1.00
714,Nyctea,682,,0.03
715,Nyctea scandiaca,714,34,0.03
716,Otus,682,,0.15
717,Otus asio,716,1,0.00
718,Otus bakkamoena,716,4,0.00
719,Otus choliba,716,5,0.00
720,Otus kennicottii,716,4,0.00
721,Otus mindorensis,716,1,1.00
722,Otus rutilus,716,2,1.00
723,Otus scops,716,3,0.00
724,Pseudoscops,682,,0.00
725,Pseudoscops clamator,724,2,0.00
726,Ptilopsis,682,,0.00
727,Ptilopsis granti,726,1,0.00
728,Ptilopsis leucotis,726,6,0.00
729,Pulsatrix,682,,0.06
730,Pulsatrix koeniswaldiana,729,1,1.00
731,Pulsatrix melanota,729,1,0.00
732,Pulsatrix perspicillata,729,16,0.00
733,Scotopelia,682,,1.00
734,Scotopelia peli,733,1,1.00
735,Strix,682,,0.10
736,Strix aluco,735,7,0.00
737,Strix chacoensis,735,2,0.00
738,Strix leptogrammica,735,6,0.00
739,Strix nebulosa,735,15,0.13
740,Strix rufipes,735,3,0.00
741,Strix seloputo,735,1,0.00
742,Strix uralensis,735,7,0.00
743,Strix varia,735,2,1.00
